NAF Code,NAF French Name,NAF English Name,EXIOBASE Name,ADEME Name,Unit,EXIOBASE Monetary Factor,ADEME Monetary Factor
2365Z,Fabrication d'ouvrages en fibre-ciment,Manufacture of fibre cement,Other nonmetallic mineral products,"Mineral products (cement, glass, and so on)",kgCO2e/€,0.5683,1.8
2369Z,"Fabrication d'autres ouvrages en béton, en ciment ou en plâtre","Manufacture of other articles of concrete, plaster and cement",Other nonmetallic mineral products,"Mineral products (cement, glass, and so on)",kgCO2e/€,0.5683,1.8
2370Z,"Taille, façonnage et finissage de pierres","Cutting, shaping and finishing of stone",Other nonmetallic mineral products,"Mineral products (cement, glass, and so on)",kgCO2e/€,0.5683,1.8
2391Z,Fabrication de produits abrasifs,Production of abrasive products,Other nonmetallic mineral products,"Mineral products (cement, glass, and so on)",kgCO2e/€,0.5683,1.8
2399Z,Fabrication d'autres produits minéraux non métalliques n.c.a.,Manufacture of other non-metallic mineral products n.e.c.,Other nonmetallic mineral products,"Mineral products (cement, glass, and so on)",kgCO2e/€,0.5683,1.8
2410Z,Sidérurgie,Manufacture of basic iron and steel and of ferro-alloys,Basic iron and steel and of ferroalloys and first products thereof,"Metals (aluminium, copper, steel, and so on)",kgCO2e/€,0.7751,1.7
2420Z,"Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier","Manufacture of tubes, pipes, hollow profiles and related fittings, of steel",Basic iron and steel and of ferroalloys and first products thereof,"Metals (aluminium, copper, steel, and so on)",kgCO2e/€,0.7751,1.7
2431Z,Étirage à froid de barres,Cold drawing of bars,Basic iron and steel and of ferroalloys and first products thereof,"Metals (aluminium, copper, steel, and so on)",kgCO2e/€,0.7751,1.7
2432Z,Laminage à froid de feuillards,Cold rolling of narrow strip,Basic iron and steel and of ferroalloys and first products thereof,"Metals (aluminium, copper, steel, and so on)",kgCO2e/€,0.7751,1.7
2433Z,Profilage à froid par formage ou pliage,Cold forming or folding,Basic iron and steel and of ferroalloys and first products thereof,"Metals (aluminium, copper, steel, and so on)",kgCO2e/€,0.7751,1.7
2434Z,Tréfilage à froid,Cold drawing of wire,Basic iron and steel and of ferroalloys and first products thereof,"Metals (aluminium, copper, steel, and so on)",kgCO2e/€,0.7751,1.7
2441Z,Production de métaux précieux,Precious metals production,Precious metals,"Metals (aluminium, copper, steel, and so on)",kgCO2e/€,0.6982,1.7
2442Z,Métallurgie de l'aluminium,Aluminium production,Aluminium and aluminium products,"Metals (aluminium, copper, steel, and so on)",kgCO2e/€,0.4009,1.7
2443Z,"Métallurgie du plomb, du zinc ou de l'étain","Lead, zinc and tin production",Lead/zinc and tin and products thereof,"Metals (aluminium, copper, steel, and so on)",kgCO2e/€,0.5703,1.7
2444Z,Métallurgie du cuivre,Copper production,Copper products,"Metals (aluminium, copper, steel, and so on)",kgCO2e/€,0.6668,1.7
2445Z,Métallurgie des autres métaux non ferreux,Other non-ferrous metal production,Other nonferrous metal products,"Metals (aluminium, copper, steel, and so on)",kgCO2e/€,0.3778,1.7
2446Z,Élaboration et transformation de matières nucléaires,Processing of nuclear fuel,Nuclear fuel,"Metals (aluminium, copper, steel, and so on)",kgCO2e/€,0.2777,1.7
2451Z,Fonderie de fonte,Casting of iron,Fabricated metal products/except machinery and equipment,"Metals (aluminium, copper, steel, and so on)",kgCO2e/€,0.2634,1.7
2452Z,Fonderie d'acier,Casting of steel,Fabricated metal products/except machinery and equipment,"Metals (aluminium, copper, steel, and so on)",kgCO2e/€,0.2634,1.7
2453Z,Fonderie de métaux légers,Casting of light metals,Fabricated metal products/except machinery and equipment,"Metals (aluminium, copper, steel, and so on)",kgCO2e/€,0.2634,1.7
2454Z,Fonderie d'autres métaux non ferreux,Casting of other non-ferrous metals,Fabricated metal products/except machinery and equipment,"Metals (aluminium, copper, steel, and so on)",kgCO2e/€,0.2634,1.7
2511Z,Fabrication de structures métalliques et de parties de structures,Manufacture of metal structures and parts of structures,Fabricated metal products/except machinery and equipment,"Metallic products, other than machinery and equipment",kgCO2e/€,0.2634,0.6
2512Z,Fabrication de portes et fenêtres en métal,Manufacture of doors and windows of metal,Fabricated metal products/except machinery and equipment,"Metallic products, other than machinery and equipment",kgCO2e/€,0.2634,0.6
2521Z,Fabrication de radiateurs et de chaudières pour le chauffage central,Manufacture of central heating radiators and boilers,Fabricated metal products/except machinery and equipment,"Metallic products, other than machinery and equipment",kgCO2e/€,0.2634,0.6
2529Z,"Fabrication d'autres réservoirs, citernes et conteneurs métalliques","Manufacture of other tanks, reservoirs and containers of metal",Fabricated metal products/except machinery and equipment,"Metallic products, other than machinery and equipment",kgCO2e/€,0.2634,0.6
2530Z,"Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central","Manufacture of steam generators, except central heating hot water boilers",Fabricated metal products/except machinery and equipment,"Metallic products, other than machinery and equipment",kgCO2e/€,0.2634,0.6
2540Z,Fabrication d'armes et de munitions,Manufacture of weapons and ammunition,Machinery and equipment (not elsewhere specified),"Metallic products, other than machinery and equipment",kgCO2e/€,0.2139,0.6
2550A,"Forge, estampage, matriçage; métallurgie des poudres","Forging, pressing, stamping; powder metallurgy",Fabricated metal products/except machinery and equipment,"Metallic products, other than machinery and equipment",kgCO2e/€,0.2634,0.6
2550B,"Découpage, emboutissage","Cutting out, pressing",Fabricated metal products/except machinery and equipment,"Metallic products, other than machinery and equipment",kgCO2e/€,0.2634,0.6
2561Z,Traitement et revêtement des métaux,Treatment and coating of metals,Fabricated metal products/except machinery and equipment,"Metallic products, other than machinery and equipment",kgCO2e/€,0.2634,0.6
2562A,Décolletage,Cutting-off,Fabricated metal products/except machinery and equipment,"Metallic products, other than machinery and equipment",kgCO2e/€,0.2634,0.6
2562B,Mécanique industrielle,Industrial mechanical engineering,Fabricated metal products/except machinery and equipment,"Metallic products, other than machinery and equipment",kgCO2e/€,0.2634,0.6
2571Z,Fabrication de coutellerie,Manufacture of cutlery,Fabricated metal products/except machinery and equipment,"Metallic products, other than machinery and equipment",kgCO2e/€,0.2634,0.6
2572Z,Fabrication de serrures et de ferrures,Manufacture of locks and hinges,Fabricated metal products/except machinery and equipment,"Metallic products, other than machinery and equipment",kgCO2e/€,0.2634,0.6
2573A,Fabrication de moules et modèles,Manufacture of moulds and models,Fabricated metal products/except machinery and equipment,"Metallic products, other than machinery and equipment",kgCO2e/€,0.2634,0.6
2573B,Fabrication d'autres outillages,Manufacture of other tools,Fabricated metal products/except machinery and equipment,"Metallic products, other than machinery and equipment",kgCO2e/€,0.2634,0.6
2591Z,Fabrication de fûts et emballages métalliques similaires,Manufacture of steel drums and similar containers,Fabricated metal products/except machinery and equipment,"Metallic products, other than machinery and equipment",kgCO2e/€,0.2634,0.6
2592Z,Fabrication d'emballages métalliques légers,Manufacture of light metal packaging,Fabricated metal products/except machinery and equipment,"Metallic products, other than machinery and equipment",kgCO2e/€,0.2634,0.6
2593Z,"Fabrication d'articles en fils métalliques, de chaînes et de ressorts","Manufacture of wire products, chain and springs",Fabricated metal products/except machinery and equipment,"Metallic products, other than machinery and equipment",kgCO2e/€,0.2634,0.6
2594Z,Fabrication de vis et de boulons,Manufacture of fasteners and screw machine products,Fabricated metal products/except machinery and equipment,"Metallic products, other than machinery and equipment",kgCO2e/€,0.2634,0.6
2599A,Fabrication d'articles métalliques ménagers,Manufacture of household fabricated metal articles,Fabricated metal products/except machinery and equipment,"Metallic products, other than machinery and equipment",kgCO2e/€,0.2634,0.6
2599B,Fabrication d'autres articles métalliques,Manufacture of other fabricated metal articles,Fabricated metal products/except machinery and equipment,"Metallic products, other than machinery and equipment",kgCO2e/€,0.2634,0.6
2611Z,Fabrication de composants électroniques,Manufacture of electronic components,Electrical machinery and apparatus (not elsewhere specified),Electrical and optical IT and office equipment,kgCO2e/€,0.2217,0.4
2612Z,Fabrication de cartes électroniques assemblées,Manufacture of loaded electronic boards,Radio/television and communication equipment and apparatus,Electrical and optical IT and office equipment,kgCO2e/€,0.1819,0.4
2620Z,Fabrication d'ordinateurs et d'équipements périphériques,Manufacture of computers and peripheral equipment,Office machinery and computers,Electrical and optical IT and office equipment,kgCO2e/€,0.1278,0.4
2630Z,Fabrication d'équipements de communication,Manufacture of communication equipment,Electrical machinery and apparatus (not elsewhere specified),Electrical and optical IT and office equipment,kgCO2e/€,0.2217,0.4
2640Z,Fabrication de produits électroniques grand public,Manufacture of consumer electronics,Radio/television and communication equipment and apparatus,Electrical and optical IT and office equipment,kgCO2e/€,0.1819,0.4
2651A,Fabrication d'équipements d'aide à la navigation,Manufacture of aid to navigation equipment,Medical/precision and optical instruments/watches and clocks,Electrical and optical IT and office equipment,kgCO2e/€,0.1817,0.4
2651B,Fabrication d'instrumentation scientifique et technique,Manufacture of scientific and technical instruments,Medical/precision and optical instruments/watches and clocks,Electrical and optical IT and office equipment,kgCO2e/€,0.1817,0.4
2652Z,Horlogerie,Manufacture of watches and clocks,Medical/precision and optical instruments/watches and clocks,Electrical and optical IT and office equipment,kgCO2e/€,0.1817,0.4
2660Z,"Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques","Manufacture of irradiation, electromedical and electrotherapeutic equipment",Medical/precision and optical instruments/watches and clocks,Electrical and optical IT and office equipment,kgCO2e/€,0.1817,0.4
2670Z,Fabrication de matériels optique et photographique,Manufacture of optical instruments and photographic equipment,Medical/precision and optical instruments/watches and clocks,Electrical and optical IT and office equipment,kgCO2e/€,0.1817,0.4
2680Z,Fabrication de supports magnétiques et optiques,Manufacture of magnetic and optical media,Medical/precision and optical instruments/watches and clocks,Electrical and optical IT and office equipment,kgCO2e/€,0.1817,0.4
2711Z,"Fabrication de moteurs, génératrices et transformateurs électriques","Manufacture of electric motors, generators and transformers",Electrical machinery and apparatus (not elsewhere specified),Machinery and equipment,kgCO2e/€,0.2217,0.7
2712Z,Fabrication de matériel de distribution et de commande électrique,Manufacture of electricity distribution and control apparatus,Electrical machinery and apparatus (not elsewhere specified),Machinery and equipment,kgCO2e/€,0.2217,0.7
2720Z,Fabrication de piles et d'accumulateurs électriques,Manufacture of batteries and accumulators,Electrical machinery and apparatus (not elsewhere specified),Machinery and equipment,kgCO2e/€,0.2217,0.7
2731Z,Fabrication de câbles de fibres optiques,Manufacture of fibre optic cables,Electrical machinery and apparatus (not elsewhere specified),Machinery and equipment,kgCO2e/€,0.2217,0.7
2732Z,Fabrication d'autres fils et câbles électroniques ou électriques,Manufacture of other electronic and electric wires and cables,Electrical machinery and apparatus (not elsewhere specified),Machinery and equipment,kgCO2e/€,0.2217,0.7
2733Z,Fabrication de matériel d'installation électrique,Manufacture of wiring devices,Electrical machinery and apparatus (not elsewhere specified),Machinery and equipment,kgCO2e/€,0.2217,0.7
2740Z,Fabrication d'appareils d'éclairage électrique,Manufacture of electric lighting equipment,Electrical machinery and apparatus (not elsewhere specified),Machinery and equipment,kgCO2e/€,0.2217,0.7
2751Z,Fabrication d'appareils électroménagers,Manufacture of electric domestic appliances,Machinery and equipment (not elsewhere specified),Machinery and equipment,kgCO2e/€,0.2139,0.7
2752Z,Fabrication d'appareils ménagers non électriques,Manufacture of non-electric domestic appliances,Machinery and equipment (not elsewhere specified),Machinery and equipment,kgCO2e/€,0.2139,0.7
2790Z,Fabrication d'autres matériels électriques,Manufacture of other electrical equipment,Electrical machinery and apparatus (not elsewhere specified),Machinery and equipment,kgCO2e/€,0.2217,0.7
2811Z,"Fabrication de moteurs et turbines, à l'exception des moteurs d'avions et de véhicules","Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",Machinery and equipment (not elsewhere specified),Machinery and equipment,kgCO2e/€,0.2139,0.7
2812Z,Fabrication d'équipements hydrauliques et pneumatiques,Manufacture of fluid power equipment,Machinery and equipment (not elsewhere specified),Machinery and equipment,kgCO2e/€,0.2139,0.7
2813Z,Fabrication d'autres pompes et compresseurs,Manufacture of other pumps and compressors,Machinery and equipment (not elsewhere specified),Machinery and equipment,kgCO2e/€,0.2139,0.7
2814Z,Fabrication d'autres articles de robinetterie,Manufacture of other taps and valves,Machinery and equipment (not elsewhere specified),Machinery and equipment,kgCO2e/€,0.2139,0.7
2815Z,Fabrication d'engrenages et d'organes mécaniques de transmission,"Manufacture of bearings, gears, gearing and driving elements",Machinery and equipment (not elsewhere specified),Machinery and equipment,kgCO2e/€,0.2139,0.7
2821Z,Fabrication de fours et brûleurs,"Manufacture of ovens, furnaces and furnace burners",Machinery and equipment (not elsewhere specified),Machinery and equipment,kgCO2e/€,0.2139,0.7
2822Z,Fabrication de matériel de levage et de manutention,Manufacture of lifting and handling equipment,Machinery and equipment (not elsewhere specified),Machinery and equipment,kgCO2e/€,0.2139,0.7
2823Z,Fabrication de machines et d'équipements de bureau (à l'exception des ordinateurs et équipements périphériques),Manufacture of office machinery and equipment (except computers and peripheral equipment),Office machinery and computers,Machinery and equipment,kgCO2e/€,0.1278,0.7
2824Z,Fabrication d'outillage portatif à moteur incorporé,Manufacture of power-driven hand tools,Machinery and equipment (not elsewhere specified),Machinery and equipment,kgCO2e/€,0.2139,0.7
2825Z,Fabrication d'équipements aérauliques et frigorifiques industriels,Manufacture of non-domestic cooling and ventilation equipment,Machinery and equipment (not elsewhere specified),Machinery and equipment,kgCO2e/€,0.2139,0.7
2829A,"Fabrication d'équipements d'emballage, de conditionnement et de pesage","Manufacture of packing, packaging and weighing equipment",Machinery and equipment (not elsewhere specified),Machinery and equipment,kgCO2e/€,0.2139,0.7
2829B,Fabrication d'autres machines d'usage général,Manufacture of other general purpose machinery,Machinery and equipment (not elsewhere specified),Machinery and equipment,kgCO2e/€,0.2139,0.7
2830Z,Fabrication de machines agricoles et forestières,Manufacture of agricultural and forestry machinery,Machinery and equipment (not elsewhere specified),Machinery and equipment,kgCO2e/€,0.2139,0.7
2841Z,Fabrication de machines-outils pour le travail des métaux,Manufacture of machine-tools for metal work,Machinery and equipment (not elsewhere specified),Machinery and equipment,kgCO2e/€,0.2139,0.7
2849Z,Fabrication d'autres machines-outils,Manufacture of other machine tools,Machinery and equipment (not elsewhere specified),Machinery and equipment,kgCO2e/€,0.2139,0.7
2891Z,Fabrication de machines pour la métallurgie,Manufacture of machinery for metallurgy,Machinery and equipment (not elsewhere specified),Machinery and equipment,kgCO2e/€,0.2139,0.7
2892Z,Fabrication de machines pour l'extraction ou la construction,"Manufacture of machinery for mining, quarrying and construction",Machinery and equipment (not elsewhere specified),Machinery and equipment,kgCO2e/€,0.2139,0.7
2893Z,Fabrication de machines pour l'industrie agro-alimentaire,"Manufacture of machinery for food, beverage and tobacco processing",Machinery and equipment (not elsewhere specified),Machinery and equipment,kgCO2e/€,0.2139,0.7
2894Z,Fabrication de machines pour les industries textiles,"Manufacture of machinery for textile, apparel and leather production",Machinery and equipment (not elsewhere specified),Machinery and equipment,kgCO2e/€,0.2139,0.7
2895Z,Fabrication de machines pour les industries du papier et du carton,Manufacture of machinery for paper and paperboard production,Machinery and equipment (not elsewhere specified),Machinery and equipment,kgCO2e/€,0.2139,0.7
2896Z,Fabrication de machines pour le travail du caoutchouc ou des plastiques,Manufacture of plastics and rubber machinery,Machinery and equipment (not elsewhere specified),Machinery and equipment,kgCO2e/€,0.2139,0.7
2899A,Fabrication de machines d'imprimerie,Manufacture of printing machinery,Machinery and equipment (not elsewhere specified),Machinery and equipment,kgCO2e/€,0.2139,0.7
2899B,Fabrication d'autres machines spécialisées,Manufacture of other special purpose machinery,Machinery and equipment (not elsewhere specified),Machinery and equipment,kgCO2e/€,0.2139,0.7
2910Z,Construction de véhicules automobiles,Manufacture of motor vehicles,Motor vehicles/trailers and semitrailers,,kgCO2e/€,0.2422,
2920Z,Fabrication de carrosseries et remorques,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,Motor vehicles/trailers and semitrailers,,kgCO2e/€,0.2422,
2931Z,Fabrication d'équipements électriques et électroniques automobiles,Manufacture of electrical and electronic equipment for motor vehicles,Electrical machinery and apparatus (not elsewhere specified),,kgCO2e/€,0.2217,
2932Z,Fabrication d'autres équipements automobiles,Manufacture of other parts and accessories for motor vehicles,Motor vehicles/trailers and semitrailers,,kgCO2e/€,0.2422,
3011Z,Construction de navires et de structures flottantes,Building of ships and floating structures,Other transport equipment,Transport equipment,kgCO2e/€,0.2152,0.7
3012Z,Construction de bateaux de plaisance,Building of pleasure and sporting boats,Other transport equipment,Transport equipment,kgCO2e/€,0.2152,0.7
3020Z,Construction de locomotives et d'autre matériel ferroviaire roulant,Manufacture of railway locomotives and rolling stock,Other transport equipment,Transport equipment,kgCO2e/€,0.2152,0.7
3030Z,Construction aéronautique et spatiale,Manufacture of air and spacecraft and related machinery,Other transport equipment,Transport equipment,kgCO2e/€,0.2152,0.7
3040Z,Construction de véhicules militaires de combat,Manufacture of military fighting vehicles,Other transport equipment,Transport equipment,kgCO2e/€,0.2152,0.7
3091Z,Fabrication de motocycles,Manufacture of motorcycles,Motor vehicles/trailers and semitrailers,Transport equipment,kgCO2e/€,0.2422,0.7
3092Z,Fabrication de bicyclettes et de véhicules pour invalides,Manufacture of bicycles and invalid carriages,Other transport equipment,Transport equipment,kgCO2e/€,0.2152,0.7
3099Z,Fabrication d'autres équipements de transport n.c.a.,Manufacture of other transport equipment n.e.c.,Other transport equipment,Transport equipment,kgCO2e/€,0.2152,0.7
3101Z,Fabrication de meubles de bureau et de magasin,Manufacture of office and shop furniture,Furniture/other manufactured goods (not elsewhere specified),Furniture and other manufactured goods,kgCO2e/€,0.1881,0.5
3102Z,Fabrication de meubles de cuisine,Manufacture of kitchen furniture,Furniture/other manufactured goods (not elsewhere specified),Furniture and other manufactured goods,kgCO2e/€,0.1881,0.5
3103Z,Fabrication de matelas,Manufacture of mattresses,Furniture/other manufactured goods (not elsewhere specified),Furniture and other manufactured goods,kgCO2e/€,0.1881,0.5
3109A,Fabrication de sièges d'ameublement d'intérieur,Manufacture of home furnishing chairs and seats,Furniture/other manufactured goods (not elsewhere specified),Furniture and other manufactured goods,kgCO2e/€,0.1881,0.5
3109B,Fabrication d'autres meubles et industries connexes de l'ameublement,Manufacture of other furniture and industry closely related to furnishing,Furniture/other manufactured goods (not elsewhere specified),Furniture and other manufactured goods,kgCO2e/€,0.1881,0.5
3211Z,Frappe de monnaie,Striking of coins,Furniture/other manufactured goods (not elsewhere specified),Furniture and other manufactured goods,kgCO2e/€,0.1881,0.5
3212Z,Fabrication d'articles de joaillerie et bijouterie,Manufacture of jewellery and related articles,Furniture/other manufactured goods (not elsewhere specified),Furniture and other manufactured goods,kgCO2e/€,0.1881,0.5
3213Z,Fabrication d'articles de bijouterie fantaisie et articles similaires,Manufacture of imitation jewellery and related articles,Furniture/other manufactured goods (not elsewhere specified),Furniture and other manufactured goods,kgCO2e/€,0.1881,0.5
3220Z,Fabrication d'instruments de musique,Manufacture of musical instruments,Furniture/other manufactured goods (not elsewhere specified),Furniture and other manufactured goods,kgCO2e/€,0.1881,0.5
3230Z,Fabrication d'articles de sport,Manufacture of sports goods,Furniture/other manufactured goods (not elsewhere specified),Furniture and other manufactured goods,kgCO2e/€,0.1881,0.5
3240Z,Fabrication de jeux et jouets,Manufacture of games and toys,Furniture/other manufactured goods (not elsewhere specified),Furniture and other manufactured goods,kgCO2e/€,0.1881,0.5
3250A,Fabrication de matériel médico-chirurgical et dentaire,"Manufacture of medical, surgical and dental equipment",Medical/precision and optical instruments/watches and clocks,Furniture and other manufactured goods,kgCO2e/€,0.1817,0.5
3250B,Fabrication de lunettes,Manufacture of glasses,Medical/precision and optical instruments/watches and clocks,Furniture and other manufactured goods,kgCO2e/€,0.1817,0.5
3291Z,Fabrication d'articles de brosserie,Manufacture of brooms and brushes,Furniture/other manufactured goods (not elsewhere specified),Furniture and other manufactured goods,kgCO2e/€,0.1881,0.5
3299Z,Autres activités manufacturières n.c.a.,Other manufacturing n.e.c.,Furniture/other manufactured goods (not elsewhere specified),Furniture and other manufactured goods,kgCO2e/€,0.1881,0.5
3311Z,Réparation d'ouvrages en métaux,Repair of fabricated metal products,Fabricated metal products/except machinery and equipment,Machinery and equipment installation and repairs,kgCO2e/€,0.2634,0.39
3312Z,Réparation de machines et équipements mécaniques,Repair of machinery,Machinery and equipment (not elsewhere specified),Machinery and equipment installation and repairs,kgCO2e/€,0.2139,0.39
3313Z,Réparation de matériels électroniques et optiques,Repair of electronic and optical equipment,Electrical machinery and apparatus (not elsewhere specified),Machinery and equipment installation and repairs,kgCO2e/€,0.2217,0.39
3314Z,Réparation d'équipements électriques,Repair of electrical equipment,Electrical machinery and apparatus (not elsewhere specified),Machinery and equipment installation and repairs,kgCO2e/€,0.2217,0.39
3315Z,Réparation et maintenance navale,Repair and maintenance of ships and boats,Other transport equipment,Machinery and equipment installation and repairs,kgCO2e/€,0.2152,0.39
3316Z,Réparation et maintenance d'aéronefs et d'engins spatiaux,Repair and maintenance of aircraft and spacecraft,Other transport equipment,Machinery and equipment installation and repairs,kgCO2e/€,0.2152,0.39
3317Z,Réparation et maintenance d'autres équipements de transport,Repair and maintenance of other transport equipment,Other transport equipment,Machinery and equipment installation and repairs,kgCO2e/€,0.2152,0.39
3319Z,Réparation d'autres équipements,Repair of other equipment,Furniture/other manufactured goods (not elsewhere specified),Machinery and equipment installation and repairs,kgCO2e/€,0.1881,0.39
3320A,"Installation de structures métalliques, chaudronnées et de tuyauterie","Installation of metallic, boiler structures and pipes",Machinery and equipment (not elsewhere specified),Machinery and equipment installation and repairs,kgCO2e/€,0.2139,0.39
3320B,Installation de machines et équipements mécaniques,Installation of machinery and mechanical equipment,Machinery and equipment (not elsewhere specified),Machinery and equipment installation and repairs,kgCO2e/€,0.2139,0.39
3320C,Conception d'ensemble et assemblage sur site industriel d'équipements de contrôle des processus industriels,Overall conception and assembly of industrial process control equipment in industrial plant,Machinery and equipment (not elsewhere specified),Machinery and equipment installation and repairs,kgCO2e/€,0.2139,0.39
3320D,"Installation d'équipements électriques, de matériels électroniques et optiques ou d'autres matériels","Installation of electrical equipment, electronic and optical equipment or other equipment",Machinery and equipment (not elsewhere specified),Machinery and equipment installation and repairs,kgCO2e/€,0.2139,0.39
3511Z,Production d'électricité,Production of electricity,Electricity generated from coal,,kgCO2e/€,4.694,
3512Z,Transport d'électricité,Transmission of electricity,Transmission of electricity (services),,kgCO2e/€,0.7241,
3513Z,Distribution d'électricité,Distribution of electricity,Distribution and trade of electricity (services),,kgCO2e/€,0.7404,
3514Z,Commerce d'électricité,Trade of electricity,Distribution and trade of electricity (services),,kgCO2e/€,0.7404,
3521Z,Production de combustibles gazeux,Manufacture of gas,Distribution of gaseous fuels through mains (services),,kgCO2e/€,0.4987,
3522Z,Distribution de combustibles gazeux par conduites,Distribution of gaseous fuels through mains,Distribution of gaseous fuels through mains (services),,kgCO2e/€,0.4987,
3523Z,Commerce de combustibles gazeux par conduites,Trade of gas through mains,Distribution of gaseous fuels through mains (services),,kgCO2e/€,0.4987,
3530Z,Production et distribution de vapeur et d'air conditionné,Steam and air conditioning supply,Steam and hot water supply (services),,kgCO2e/€,1.8574,
3600Z,"Captage, traitement et distribution d'eau","Water collection, treatment and supply",Collected and purified water/distribution of water (services),,kgCO2e/€,0.1276,
3700Z,Collecte et traitement des eaux usées,Sewerage,Other waste for treatment: waste water treatment,,kgCO2e/€,1.1805,
3811Z,Collecte des déchets non dangereux,Collection of non-hazardous waste,Food waste for treatment: incineration,,kgCO2e/€,0.2077,
3812Z,Collecte des déchets dangereux,Collection of hazardous waste,Food waste for treatment: incineration,,kgCO2e/€,0.2077,
3821Z,Traitement et élimination des déchets non dangereux,Treatment and disposal of non-hazardous waste,Food waste for treatment: incineration,,kgCO2e/€,0.2077,
3822Z,Traitement et élimination des déchets dangereux,Treatment and disposal of hazardous waste,Food waste for treatment: incineration,,kgCO2e/€,0.2077,
3831Z,Démantèlement d'épaves,Dismantling of wrecks,Inert/metal/hazardous waste for treatment: landfill,,kgCO2e/€,0.1925,
3832Z,Récupération de déchets triés,Recovery of sorted materials,Inert/metal/hazardous waste for treatment: landfill,,kgCO2e/€,0.1925,
3900Z,Dépollution et autres services de gestion des déchets,Remediation activities and other waste management services,Food waste for treatment: incineration,,kgCO2e/€,0.2077,
4110A,Promotion immobilière de logements,Development and selling of dwellings,Construction work,Construction,kgCO2e/€,0.2332,0.36
4110B,Promotion immobilière de bureaux,Development and selling of offices,Construction work,Construction,kgCO2e/€,0.2332,0.36
4110C,Promotion immobilière d'autres bâtiments,Development and selling of other buildings,Construction work,Construction,kgCO2e/€,0.2332,0.36
4110D,Supports juridiques de programmes,Juridical compartmentalization of property programmes,Construction work,Construction,kgCO2e/€,0.2332,0.36
4120A,Construction de maisons individuelles,Construction of detached and semi-detached houses,Construction work,Construction,kgCO2e/€,0.2332,0.36
4120B,Construction d'autres bâtiments,Construction of other buildings,Construction work,Construction,kgCO2e/€,0.2332,0.36
4211Z,Construction de routes et autoroutes,Construction of roads and motorways,Construction work,Construction,kgCO2e/€,0.2332,0.36
4212Z,Construction de voies ferrées de surface et souterraines,Construction of railways and underground railways,Construction work,Construction,kgCO2e/€,0.2332,0.36
4213A,Construction d'ouvrages d'art,Construction of civil engineering structures,Construction work,Construction,kgCO2e/€,0.2332,0.36
4213B,Construction et entretien de tunnels,Construction and maintenance of tunnels,Construction work,Construction,kgCO2e/€,0.2332,0.36
4221Z,Construction de réseaux pour fluides,Construction of utility projects for fluids,Construction work,Construction,kgCO2e/€,0.2332,0.36
4222Z,Construction de réseaux électriques et de télécommunications,Construction of utility projects for electricity and telecommunications,Construction work,Construction,kgCO2e/€,0.2332,0.36
4291Z,Construction d'ouvrages maritimes et fluviaux,Construction of water projects,Construction work,Construction,kgCO2e/€,0.2332,0.36
4299Z,Construction d'autres ouvrages de génie civil n.c.a.,Construction of other civil engineering projects n.e.c.,Construction work,Construction,kgCO2e/€,0.2332,0.36
4311Z,Travaux de démolition,Demolition,Construction work,Construction,kgCO2e/€,0.2332,0.36
4312A,Travaux de terrassement courants et travaux préparatoires,Standard earth moving and preparation works,Construction work,Construction,kgCO2e/€,0.2332,0.36
4312B,Travaux de terrassement spécialisés ou de grande masse,Specialized earth moving or in great mass,Construction work,Construction,kgCO2e/€,0.2332,0.36
4313Z,Forages et sondages,Test drilling and boring,Construction work,Construction,kgCO2e/€,0.2332,0.36
4321A,Travaux d'installation électrique dans tous locaux,Installation works of electrical wiring and fittings in all kind of buildings,Construction work,Construction,kgCO2e/€,0.2332,0.36
4321B,Travaux d'installation électrique sur la voie publique,Installation works of electrical wiring and fittings on public thoroughfare,Construction work,Construction,kgCO2e/€,0.2332,0.36
4322A,Travaux d'installation d'eau et de gaz en tous locaux,Water and gas installation works in all kind of premises,Construction work,Construction,kgCO2e/€,0.2332,0.36
4322B,Travaux d'installation d'équipements thermiques et de climatisation,Installation works of thermic and air conditioning equipment,Construction work,Construction,kgCO2e/€,0.2332,0.36
4329A,Travaux d'isolation,Insulation work activities,Construction work,Construction,kgCO2e/€,0.2332,0.36
4329B,Autres travaux d'installation n.c.a.,Other building installation works n.e.c.,Construction work,Construction,kgCO2e/€,0.2332,0.36
4331Z,Travaux de plâtrerie,Plastering,Construction work,Construction,kgCO2e/€,0.2332,0.36
4332A,Travaux de menuiserie bois et PVC,Wood and PVC joinery works,Construction work,Construction,kgCO2e/€,0.2332,0.36
4332B,Travaux de menuiserie métallique et serrurerie,Metal joinery works and ironwork,Construction work,Construction,kgCO2e/€,0.2332,0.36
4332C,Agencement de lieux de vente,Finishing of sale premises,Construction work,Construction,kgCO2e/€,0.2332,0.36
4333Z,Travaux de revêtement des sols et des murs,Floor and wall covering,Construction work,Construction,kgCO2e/€,0.2332,0.36
4334Z,Travaux de peinture et vitrerie,Painting and glazing,Construction work,Construction,kgCO2e/€,0.2332,0.36
